id,tweet,emotion,intensity,cleaned_tweet,tokens,y_train_encoded
20820,@EE your a joke I pay for data when I'm in Spain and you then text and say I've used up all my data #terrible service,fear,0.375,joke pay data im spain text say ive use data terrible service,"['joke', 'pay', 'data', 'im', 'spain', 'text', 'say', 'ive', 'use', 'data', 'terrible', 'service']",1
20697,Can we start a 'get Chris Sutton off our tv campaign? Spread the work #terrible #pundit #noclue,fear,0.433,start get chris sutton tv campaign spread work terrible pundit noclue,"['start', 'get', 'chris', 'sutton', 'tv', 'campaign', 'spread', 'work', 'terrible', 'pundit', 'noclue']",1
40229,"Having a nail half hanging off is absolutely fucking grim, even with my acrylic holding it on ðŸ˜·ðŸ˜·",sadness,0.604,nail half hang absolutely fucking grim even acrylic hold,"['nail', 'half', 'hang', 'absolutely', 'fucking', 'grim', 'even', 'acrylic', 'hold']",3
30590,"@SloanTheOtaku Betelgeuse/Sloth was lively, dedicated and tenacious, Regulus/Greed is humbly content and Ley/Gluttony is starving hungry.",joy,0.36,betelgeusesloth lively dedicate tenacious regulusgreed humbly content leygluttony starve hungry,"['betelgeusesloth', 'lively', 'dedicate', 'tenacious', 'regulusgreed', 'humbly', 'content', 'leygluttony', 'starve', 'hungry']",2
20332,@bobcesca_go @sesmithesq \nDidn't Florida 2000 teach you anything? I live here in Palm Beach County and lived through that nightmare.,fear,0.604,ndidnt florida teach anything live palm beach county live nightmare,"['ndidnt', 'florida', 'teach', 'anything', 'live', 'palm', 'beach', 'county', 'live', 'nightmare']",1
20367,@BaileyDemented @hsmitty3 ill kill u if u bully her ðŸ˜¤ðŸ˜¤ðŸ˜¤,fear,0.583,ill kill u u bully,"['ill', 'kill', 'u', 'u', 'bully']",1
21126,@Zen1dfabflake You are all our angelic comrades! #flutter,fear,0.125,angelic comrade flutter,"['angelic', 'comrade', 'flutter']",1
30716,@jellzybean cheer up punkin',joy,0.25,cheer punkin,"['cheer', 'punkin']",2
10055,My mind is raging and i just want to end it all,anger,0.75,mind rag want end,"['mind', 'rag', 'want', 'end']",0
20753,Follow this amazing Australian author @KristyBerridge #fiction #horror #zombies #angels #demons #vampires #werewolves #follow #authorlove,fear,0.396,follow amazing australian author fiction horror zombie angels demon vampire werewolf follow authorlove,"['follow', 'amazing', 'australian', 'author', 'fiction', 'horror', 'zombie', 'angels', 'demon', 'vampire', 'werewolf', 'follow', 'authorlove']",1
10903,@LiamCannon1 He's just too raging to type properly... Ha ha!,anger,0.375,hes rag type properly ha ha,"['hes', 'rag', 'type', 'properly', 'ha', 'ha']",0
20293,"Swear to God don't get a smart meter from your power company, 8 months of daft bills, 6 visits from British Gas  #stressed",fear,0.625,swear god dont get smart meter power company month daft bill visit british gas stress,"['swear', 'god', 'dont', 'get', 'smart', 'meter', 'power', 'company', 'month', 'daft', 'bill', 'visit', 'british', 'gas', 'stress']",1
31320,@iTriborg â€” make him feel vigorous. 'Fine. You can kill me now.' Said Hestia with a display of only despair rather than her joyful â€”,joy,0.212,make feel vigorous fine kill said hestia display despair rather joyful,"['make', 'feel', 'vigorous', 'fine', 'kill', 'said', 'hestia', 'display', 'despair', 'rather', 'joyful']",2
10139,@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing  #noloyalty #joke #notimpressed,anger,0.667,year irrelevant absolute joke manutd ticket noloyalty joke notimpressed,"['year', 'irrelevant', 'absolute', 'joke', 'manutd', 'ticket', 'noloyalty', 'joke', 'notimpressed']",0
22177,I know this is going to be one of those nights where it takes an Act of God to fall asleep.  #restless,fear,0.75,know go one night take act god fall asleep restless,"['know', 'go', 'one', 'night', 'take', 'act', 'god', 'fall', 'asleep', 'restless']",1
11022,@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus #bitter,anger,0.396,think highprofile female colleague would one yhat category massexodus bitter,"['think', 'highprofile', 'female', 'colleague', 'would', 'one', 'yhat', 'category', 'massexodus', 'bitter']",0
11125,@JohnJHarwood @GWGMJ30 It's no secret: personal dislike of Trump &amp; animosity has always been present..now magnified with bigotry/racism etc.,anger,0.653,secret personal dislike trump amp animosity always presentnow magnify bigotryracism etc,"['secret', 'personal', 'dislike', 'trump', 'amp', 'animosity', 'always', 'presentnow', 'magnify', 'bigotryracism', 'etc']",0
30384,Watch this amazing live.ly broadcast by @brooke_bridges #lively #musically,joy,0.5,watch amazing lively broadcast lively musically,"['watch', 'amazing', 'lively', 'broadcast', 'lively', 'musically']",2
10968,Point scorning and fury at Labor does nothing to address long term detention and the need to resettle #asylumseekers from #manus and #Nauru,anger,0.458,point scorning fury labor nothing address long term detention need resettle asylumseekers manus nauru,"['point', 'scorning', 'fury', 'labor', 'nothing', 'address', 'long', 'term', 'detention', 'need', 'resettle', 'asylumseekers', 'manus', 'nauru']",0
30731,@iyaycruz lets see chirp,joy,0.231,let see chirp,"['let', 'see', 'chirp']",2
20639,@andrewspoooner wouldn't cross the street to piss on its server if it was on dire,fear,0.458,wouldnt cross street piss server dire,"['wouldnt', 'cross', 'street', 'piss', 'server', 'dire']",1
41221,@RonBaker6694 I got a super speeder and lost my license for 6 months! ðŸ˜©ðŸ”«,sadness,0.583,get super speeder lose license month,"['get', 'super', 'speeder', 'lose', 'license', 'month']",3
10754,Who got madden 17 or 2k17 ps4 add TrackdawgT lets run it,anger,0.312,get madden k ps add trackdawgt let run,"['get', 'madden', 'k', 'ps', 'add', 'trackdawgt', 'let', 'run']",0
21553,"@mylittlepwnies3 \n&gt; #terrorism coffee addict\n&gt; blocks cats, writers, artists and hedonists",fear,0.479,ngt terrorism coffee addictngt block cat writer artist hedonist,"['ngt', 'terrorism', 'coffee', 'addictngt', 'block', 'cat', 'writer', 'artist', 'hedonist']",1
30327,Watch this amazing live.ly broadcast by @iamjustinburke  #musically,joy,0.542,watch amazing lively broadcast musically,"['watch', 'amazing', 'lively', 'broadcast', 'musically']",2
40451,"@Ren102e906 Just do what you can, don't get discouraged, maybe some prayers for divine intervention to help you would help :)",sadness,0.438,dont get discourage maybe prayer divine intervention help would help,"['dont', 'get', 'discourage', 'maybe', 'prayer', 'divine', 'intervention', 'help', 'would', 'help']",3
20658,You sure have a lot to say about something that doesn't even concern you ðŸ˜‰,fear,0.44,sure lot say something doesnt even concern,"['sure', 'lot', 'say', 'something', 'doesnt', 'even', 'concern']",1
21734,She is someone who rolls persuasion under intimidate and awkwardly wins. ALL THE TIME.' @sourfruitjunkie on @JakiDash.,fear,0.542,someone roll persuasion intimidate awkwardly win time,"['someone', 'roll', 'persuasion', 'intimidate', 'awkwardly', 'win', 'time']",1
30957,"@paraplyene @soupper i just read it and it's so fun??!!!! So lighthearted and cheerful, i was right, it's a double cavity for me.",joy,0.62,read fun lighthearted cheerful right double cavity,"['read', 'fun', 'lighthearted', 'cheerful', 'right', 'double', 'cavity']",2
40026,What a sad evening - clearing out all of Harvey's cage and belongings. Now so final. Goodbye my little man.... #depressing,sadness,0.854,sad evening clear harveys cage belonging final goodbye little man depress,"['sad', 'evening', 'clear', 'harveys', 'cage', 'belonging', 'final', 'goodbye', 'little', 'man', 'depress']",3
41056,"@p0stcap I've still been trying to sort through it all, but I suppose I also shouldn't have had such high expectations. #sadness",sadness,0.708,ive still try sort suppose also shouldnt high expectation sadness,"['ive', 'still', 'try', 'sort', 'suppose', 'also', 'shouldnt', 'high', 'expectation', 'sadness']",3
31467,@Nick_Offerman &amp; @MeganOMullally 's #Summerof69 show was raw sexuality and pure #mirth ! Thanks for the belly laughs and butt sex japes!,joy,0.708,amp summerof show raw sexuality pure mirth thanks belly laugh butt sex jape,"['amp', 'summerof', 'show', 'raw', 'sexuality', 'pure', 'mirth', 'thanks', 'belly', 'laugh', 'butt', 'sex', 'jape']",2
20500,"I hate that if I don't start the conversation, there won't be one.",fear,0.521,hate dont start conversation wont one,"['hate', 'dont', 'start', 'conversation', 'wont', 'one']",1
40785,"I can literally eat creamy pesto pasta topped with grilled chicken, sun dried tomatoes, asparagus and pine nuts every single day of my life",sadness,0.083,literally eat creamy pesto pasta top grilled chicken sun dry tomato asparagus pine nut every single day life,"['literally', 'eat', 'creamy', 'pesto', 'pasta', 'top', 'grilled', 'chicken', 'sun', 'dry', 'tomato', 'asparagus', 'pine', 'nut', 'every', 'single', 'day', 'life']",3
20436,"@MasterTomTheDom  I hate winter, I dread it's arrival.",fear,0.556,hate winter dread arrival,"['hate', 'winter', 'dread', 'arrival']",1
21325,@AliKhanSays Oh come on. RAW and ISI have been spying for decades. Spying and supporting terrorism is two different thing.,fear,0.458,oh come raw isi spy decade spying support terrorism two different thing,"['oh', 'come', 'raw', 'isi', 'spy', 'decade', 'spying', 'support', 'terrorism', 'two', 'different', 'thing']",1
21136,Can't start a good day without a cup of tea! \n\n#tea #start #day #goodday,fear,0.104,cant start good day without cup tea nntea start day goodday,"['cant', 'start', 'good', 'day', 'without', 'cup', 'tea', 'nntea', 'start', 'day', 'goodday']",1
10451,"My leg feels like it's gonna burst, yet I'm still expected to go into work:):)",anger,0.333,leg feel like gon na burst yet im still expect go work,"['leg', 'feel', 'like', 'gon', 'na', 'burst', 'yet', 'im', 'still', 'expect', 'go', 'work']",0
20816,@clairepilkingt2 oh god no that's awful mine don't last that long thank god. Thank you\n Xx,fear,0.375,oh god thats awful mine dont last long thank god thank youn xx,"['oh', 'god', 'thats', 'awful', 'mine', 'dont', 'last', 'long', 'thank', 'god', 'thank', 'youn', 'xx']",1
11530,@Arsenal Giroud's beard is making me angry.,anger,0.625,girouds beard make angry,"['girouds', 'beard', 'make', 'angry']",0
40454,"So I tried to give her time to sober up, while waiting at the our friend's house. 2 hours later, gal wake up out her nap to vomit again.",sadness,0.438,try give time sober wait friend house hour later gal wake nap vomit,"['try', 'give', 'time', 'sober', 'wait', 'friend', 'house', 'hour', 'later', 'gal', 'wake', 'nap', 'vomit']",3
30335,@INCIndia Oh please! INC talking about looting! I'm not saying #BJP is pure but this is such a #hilarious #irony! @BJP4India is def better!,joy,0.54,oh please inc talk loot im say bjp pure hilarious irony def well,"['oh', 'please', 'inc', 'talk', 'loot', 'im', 'say', 'bjp', 'pure', 'hilarious', 'irony', 'def', 'well']",2
22144,I'm so nervous,fear,0.854,im nervous,"['im', 'nervous']",1
40884,"It's easy to #fall #asleep in class, but hard to in bed. #True #sober #whileyouweresleeping #insomnia #TeamFollowBack #RockTheReTweet",sadness,0.5,easy fall asleep class hard bed true sober whileyouweresleeping insomnia teamfollowback rocktheretweet,"['easy', 'fall', 'asleep', 'class', 'hard', 'bed', 'true', 'sober', 'whileyouweresleeping', 'insomnia', 'teamfollowback', 'rocktheretweet']",3
31496,i animated a little thing i might post it tomorrow since itll be a Good Thursday.. nice...,joy,0.6,animate little thing might post tomorrow since itll good thursday nice,"['animate', 'little', 'thing', 'might', 'post', 'tomorrow', 'since', 'itll', 'good', 'thursday', 'nice']",2
20412,@ExpressScripts u shd b embrrssd. u jack up my bp meds twice and it will still take 3-5 days? Not express at all. #expressscripts #horrible,fear,0.562,u shd b embrrssd u jack bp med twice still take day express expressscripts horrible,"['u', 'shd', 'b', 'embrrssd', 'u', 'jack', 'bp', 'med', 'twice', 'still', 'take', 'day', 'express', 'expressscripts', 'horrible']",1
22050,What did y'all do to your app @NFLfantasy   It's horrible.  #horrible.  Worst except once ever,fear,0.5,yall app horrible horrible worst except ever,"['yall', 'app', 'horrible', 'horrible', 'worst', 'except', 'ever']",1
11018,I just killed a spider so big it sprayed spider guts on me like a horror movie.\n#ugh #revenge,anger,0.521,kill spider big spray spider gut like horror movienugh revenge,"['kill', 'spider', 'big', 'spray', 'spider', 'gut', 'like', 'horror', 'movienugh', 'revenge']",0
10047,Still can't log into my fucking Snapchat #Snapchat ,anger,0.771,still cant log fuck snapchat snapchat,"['still', 'cant', 'log', 'fuck', 'snapchat', 'snapchat']",0
10408,@JuliaHB1 Bloody right #fume,anger,0.5,bloody right fume,"['bloody', 'right', 'fume']",0
21159,@fatgirlhealthy @MBSCBILL ....so that what do to use violence and intimidation for a polictical agenda.; aka terrorism?,fear,0.667,use violence intimidation polictical agenda aka terrorism,"['use', 'violence', 'intimidation', 'polictical', 'agenda', 'aka', 'terrorism']",1
10610,Love how Megan is raging about this Kendall Jenner photo and I'm sat here like ðŸ¤”ðŸ™ƒ,anger,0.396,love megan rag kendall jenner photo im sit like,"['love', 'megan', 'rag', 'kendall', 'jenner', 'photo', 'im', 'sit', 'like']",0
30804,"Sometimes I watch shitty tv to reinforce never giving up cuz if something is that fucking awful on tv, I still stand a chance. #optimism",joy,0.104,sometimes watch shitty tv reinforce never give cuz something fuck awful tv still stand chance optimism,"['sometimes', 'watch', 'shitty', 'tv', 'reinforce', 'never', 'give', 'cuz', 'something', 'fuck', 'awful', 'tv', 'still', 'stand', 'chance', 'optimism']",2
31044,But uncle buck is on tho . #UncleBuck ,joy,0.417,uncle buck tho unclebuck,"['uncle', 'buck', 'tho', 'unclebuck']",2
21025,Research has determined 70% of #laughter is actually .,fear,0.25,research determine laughter actually,"['research', 'determine', 'laughter', 'actually']",1
21543,"I walked 3.4 miles today, the most I've walked since I got #rhabdo. Going back to work tomorrow.. here's to hoping it goes okay ",fear,0.375,walk mile today ive walk since get rhabdo going back work tomorrow hop go okay,"['walk', 'mile', 'today', 'ive', 'walk', 'since', 'get', 'rhabdo', 'going', 'back', 'work', 'tomorrow', 'hop', 'go', 'okay']",1
10617,What terrible thing to see and have no vision-\n\nHelen Keller-\n\n-Begin with the end in mind-\n\nStephen Covey-\n\n#whereareugoing #relentless,anger,0.396,terrible thing see visionnnhelen kellernnbegin end mindnnstephen coveynnwhereareugoing relentless,"['terrible', 'thing', 'see', 'visionnnhelen', 'kellernnbegin', 'end', 'mindnnstephen', 'coveynnwhereareugoing', 'relentless']",0
20756,"@DeionSandersJr @DeionSanders so bad...Slash prices or send them to refugee camps, like team gear after they lose championships. #awful",fear,0.396,badslash price send refugee camp like team gear lose championship awful,"['badslash', 'price', 'send', 'refugee', 'camp', 'like', 'team', 'gear', 'lose', 'championship', 'awful']",1
30624,"Mind if I tag along?' She asked cheerfully, sweeping a lock of hair behind her ear. 'I want to see if you've really got â€¢ @DitheringWizard",joy,0.34,mind tag along ask cheerfully sweep lock hair behind ear want see youve really get,"['mind', 'tag', 'along', 'ask', 'cheerfully', 'sweep', 'lock', 'hair', 'behind', 'ear', 'want', 'see', 'youve', 'really', 'get']",2
10086,@hollyrobinson__ Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! #food #angry  @coopuk @coopukfood,anger,0.538,part buzz cheeky squashie twothis expectedsort food angry,"['part', 'buzz', 'cheeky', 'squashie', 'twothis', 'expectedsort', 'food', 'angry']",0
20648,@mas_critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think theyâ€™re fighting against.,fear,0.458,irony protest kind stuff orwellian nightmare think theyre fighting,"['irony', 'protest', 'kind', 'stuff', 'orwellian', 'nightmare', 'think', 'theyre', 'fighting']",1
30029,It's the #FirstDayofFall and I'm so happy. Sipping my #PumpkinSpice flavored coffee and #smiling! Happy Fall everyone! #amwriting,joy,0.86,firstdayoffall im happy sipping pumpkinspice flavor coffee smile happy fall everyone amwriting,"['firstdayoffall', 'im', 'happy', 'sipping', 'pumpkinspice', 'flavor', 'coffee', 'smile', 'happy', 'fall', 'everyone', 'amwriting']",2
40987,@ashleighjessica @zacflint1 I'd give that pout the firm D,sadness,0.508,id give pout firm,"['id', 'give', 'pout', 'firm']",3
21773,Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney,fear,0.6,noooooo without maryberry awful endofanera go b lost buy lameduck notallaboutthemoney,"['noooooo', 'without', 'maryberry', 'awful', 'endofanera', 'go', 'b', 'lost', 'buy', 'lameduck', 'notallaboutthemoney']",1
41145,@bldmovs sadly beautiful photo.,sadness,0.375,sadly beautiful photo,"['sadly', 'beautiful', 'photo']",3
10458,"significantly, with a #bitter smile, 'let me",anger,0.479,significantly bitter smile let,"['significantly', 'bitter', 'smile', 'let']",0
21002,Ramos with his ground shaking headers..ðŸ˜,fear,0.271,ramos ground shake header,"['ramos', 'ground', 'shake', 'header']",1
11677,Another loss to city in the cup next ðŸ™ˆ ðŸ˜‚ðŸ˜‚ cmon united! #revenge,anger,0.417,another loss city cup next cmon united revenge,"['another', 'loss', 'city', 'cup', 'next', 'cmon', 'united', 'revenge']",0
11531,@theGenghisJon You had to do some research to come up with new insult.  Are you allowed to read anything but brietbart?,anger,0.604,research come new insult allow read anything brietbart,"['research', 'come', 'new', 'insult', 'allow', 'read', 'anything', 'brietbart']",0
20181,"@twlldun @bbcquestiontime @JacobReesMogg @leicesterliz @normanlamb @CarolineLucas @JuliaHB1 Oh god, not Brewer again. The horror, the horror",fear,0.696,oh god brewer horror horror,"['oh', 'god', 'brewer', 'horror', 'horror']",1
40834,Soooo badly want to dye my hair dark but have never been dark before soooo torn ðŸ˜­ðŸ˜­ðŸ˜­,sadness,0.5,soooo badly want dye hair dark never dark soooo torn,"['soooo', 'badly', 'want', 'dye', 'hair', 'dark', 'never', 'dark', 'soooo', 'torn']",3
30723,@mark_slifer actually maybe we were supposed to die and my donation saved our lives?? ,joy,0.24,actually maybe suppose die donation save life,"['actually', 'maybe', 'suppose', 'die', 'donation', 'save', 'life']",2
10069,I lost a couple niggas I want revenge so put me in coach,anger,0.875,lose couple nigga want revenge put coach,"['lose', 'couple', 'nigga', 'want', 'revenge', 'put', 'coach']",0
40478,Already plotting next steps if I get cut off by the same minivan in tomorrow's drop-off line. #preschoolpolitics #momthings #serious,sadness,0.417,already plot next step get cut minivan tomorrow dropoff line preschoolpolitics momthings serious,"['already', 'plot', 'next', 'step', 'get', 'cut', 'minivan', 'tomorrow', 'dropoff', 'line', 'preschoolpolitics', 'momthings', 'serious']",3
31497,"@KillerInASuit - now getting banned but will still lurk in corners and underneath the bed and sofa, much to Eyepatch's delight. Why is she -",joy,0.25,get ban still lurk corner underneath bed sofa much eyepatchs delight,"['get', 'ban', 'still', 'lurk', 'corner', 'underneath', 'bed', 'sofa', 'much', 'eyepatchs', 'delight']",2
20059,I Don't know what make #Pakistan fear more their #terrorist or their #terrorism  #TerrorStatePak,fear,0.846,dont know make pakistan fear terrorist terrorism terrorstatepak,"['dont', 'know', 'make', 'pakistan', 'fear', 'terrorist', 'terrorism', 'terrorstatepak']",1
41226,Inadequacy slithers from her ears and wraps itself around her neck like the boys she wants to love her. #mpy #vss #quote #depression #poetry,sadness,0.562,inadequacy slithers ear wrap around neck like boy want love mpy v quote depression poetry,"['inadequacy', 'slithers', 'ear', 'wrap', 'around', 'neck', 'like', 'boy', 'want', 'love', 'mpy', 'v', 'quote', 'depression', 'poetry']",3
21702,"@erickogi @citizentvkenya @OfficialJMbugua but at what price. The near misses are too many, am afraid it may translate into something else",fear,0.604,price near miss many afraid may translate something else,"['price', 'near', 'miss', 'many', 'afraid', 'may', 'translate', 'something', 'else']",1
10523,The sun literally burning my skin,anger,0.438,sun literally burn skin,"['sun', 'literally', 'burn', 'skin']",0
30875,@harrietemmett great minds think alike. ,joy,0.479,great mind think alike,"['great', 'mind', 'think', 'alike']",2
10770,#firsttweetever sippin #hotchocolate wondering #why I finally gave in &lt;3 haha #hellloooootwitter - ...its because #facebookisforfamily ,anger,0.292,firsttweetever sippin hotchocolate wonder finally give lt haha hellloooootwitter facebookisforfamily,"['firsttweetever', 'sippin', 'hotchocolate', 'wonder', 'finally', 'give', 'lt', 'haha', 'hellloooootwitter', 'facebookisforfamily']",0
10910,Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy #angry #emotionalrollercoaster,anger,0.375,baby bear soon lifechanging year feel like yesterday sad happy angry emotionalrollercoaster,"['baby', 'bear', 'soon', 'lifechanging', 'year', 'feel', 'like', 'yesterday', 'sad', 'happy', 'angry', 'emotionalrollercoaster']",0
11310,"@Bell @Bell_Support Cancelling home Fibe, Internet and TV this afternoon - as soon as I can arrange alternate Internet. 2/2 #angry #fedup",anger,0.484,cancelling home fibe internet tv afternoon soon arrange alternate internet angry fedup,"['cancelling', 'home', 'fibe', 'internet', 'tv', 'afternoon', 'soon', 'arrange', 'alternate', 'internet', 'angry', 'fedup']",0
22018,Beginning the process to see if working is an option. #mentalhealth #complexptsd #nervous,fear,0.875,beginning process see work option mentalhealth complexptsd nervous,"['beginning', 'process', 'see', 'work', 'option', 'mentalhealth', 'complexptsd', 'nervous']",1
31394,"@eleanor_binks at least Blake lively and Ryan Reynolds are still together, God bless what a beaut couple",joy,0.475,least blake lively ryan reynolds still together god bless beaut couple,"['least', 'blake', 'lively', 'ryan', 'reynolds', 'still', 'together', 'god', 'bless', 'beaut', 'couple']",2
20597,The Zika #Hoax Files: DEET is part of a binary chemical weapon targeting your brain: #Toxin  #neurological #USCitizens #Insect #mammal,fear,0.479,zika hoax files deet part binary chemical weapon target brain toxin neurological uscitizens insect mammal,"['zika', 'hoax', 'files', 'deet', 'part', 'binary', 'chemical', 'weapon', 'target', 'brain', 'toxin', 'neurological', 'uscitizens', 'insect', 'mammal']",1
21835,@caseycdutch @m_rath that's what some rioters are doing ,fear,0.469,thats rioter,"['thats', 'rioter']",1
40842,"Don't be disheartened if you didn't get the cards you wanted, it's not the end of the world......E-Eh...? Y-You want me to cheer you up?",sadness,0.438,dont dishearten didnt get card want end worldeeh yyou want cheer,"['dont', 'dishearten', 'didnt', 'get', 'card', 'want', 'end', 'worldeeh', 'yyou', 'want', 'cheer']",3
21098,@aidankerrpol I think you should do. Get the fashion police involved. ,fear,0.169,think get fashion police involve,"['think', 'get', 'fashion', 'police', 'involve']",1
10062,So angry I wanna cryðŸ˜¢ðŸ˜¢ðŸ˜¢,anger,0.75,angry wan na cry,"['angry', 'wan', 'na', 'cry']",0
20329,Feeling like I've had the worst night of sleep ever - not great before the #London to #Brighton #cycle ride for @DMTFYP ðŸš´100k #apprehension?,fear,0.604,feeling like ive bad night sleep ever great london brighton cycle ride k apprehension,"['feeling', 'like', 'ive', 'bad', 'night', 'sleep', 'ever', 'great', 'london', 'brighton', 'cycle', 'ride', 'k', 'apprehension']",1
30240,Make someone happy ^_^,joy,0.604,make someone happy,"['make', 'someone', 'happy']",2
10505,Egyptian officials expressed frustration and outrage over the Obama/Hillary administrationâ€™s support of the Muslim Brotherhood,anger,0.579,egyptian official express frustration outrage obamahillary administration support muslim brotherhood,"['egyptian', 'official', 'express', 'frustration', 'outrage', 'obamahillary', 'administration', 'support', 'muslim', 'brotherhood']",0
